locality,lon,lat,Age,region,Country,group.name
Arham Amellal,4.335531,36.335033,pre-evaporitic Messinian,Western Mediterranean,Morocco,corals
Arham Amellal,4.335531,36.335033,Tortonian,Western Mediterranean,Morocco,corals
Arignano (Piedmont),7.90250312,45.03702213,Zanclean,Po Plain-Northern Adriatic,Italy,ostracods
Arkalies (Leukochori),23.76670958,35.23440853,Tortonian,Eastern Mediterranean,Greece,marine_mammals
Arnulfi (Piedmont),7.896667,44.625,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,nanoplankton
Arnulfi (Piedmont),7.896667,44.625,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,planktic_foraminifera
Asari (Crete),25.8668464,35.11810176,Tortonian,Eastern Mediterranean,Greece,gastropods
Asari (Crete),25.8668464,35.11810176,Tortonian,Eastern Mediterranean,Greece,scaphopod_chitons_cephalopods
Ashtart 1 well (Gulf of Gabes),10.80075619,34.20867176,pre-evaporitic Messinian,Eastern Mediterranean,Tunisia,ostracods
Ashtart 1 well (Gulf of Gabes),10.80075619,34.20867176,Tortonian,Eastern Mediterranean,Tunisia,ostracods
Ashtart 1 well (Gulf of Gabes),10.80075619,34.20867176,Zanclean,Eastern Mediterranean,Tunisia,ostracods
Asimio (Crete),25.09336967,35.04416468,Tortonian,Eastern Mediterranean,Greece,bivalves
Asimio (Crete),25.09336967,35.04416468,Tortonian,Eastern Mediterranean,Greece,gastropods
Asteri (Crete),24.59703042,35.3683263,Zanclean,Eastern Mediterranean,Greece,ostracods
Asti,8.214987299,44.90057843,Zanclean,Po Plain-Northern Adriatic,Italy,marine_mammals
Asti,8.214987299,44.90057843,Zanclean,Po Plain-Northern Adriatic,Italy,sharks
Auribeau (Var),5.467766607,43.83665101,Zanclean,Western Mediterranean,France,dinocysts
Avadan,35.09801913,37.03767288,Zanclean,Eastern Mediterranean,Turkey,planktic_foraminifera
Avadan,35.09801913,37.03767288,Zanclean,Eastern Mediterranean,Turkey,nanoplankton
Avadan 1,35.1001389,37.0308056,Zanclean,Eastern Mediterranean,Turkey,ostracods
Azla (Tetouan Basin),-5.250843732,35.54482512,Zanclean,Western Mediterranean,Morocco,bivalves
Azrou Zazirhine,-5.231834327,33.43479451,Tortonian,Western Mediterranean,Morocco,planktic_foraminifera
Bab Stout (Guercif Basin),-4.309972418,34.41030377,Tortonian,Western Mediterranean,Morocco,corals
Babatorum (Hatay Graben),36.2992897,36.0813694,pre-evaporitic Messinian,Eastern Mediterranean,Turkey,ostracods
Babatorum (Hatay Graben),36.2992897,36.0813694,Tortonian,Eastern Mediterranean,Turkey,ostracods
Babatorum (Hatay Graben),36.2992897,36.0813694,Zanclean,Eastern Mediterranean,Turkey,bivalves
Babatorum (Hatay Graben),36.2992897,36.0813694,Zanclean,Eastern Mediterranean,Turkey,gastropods
Bacedasco,9.906486094,44.84424314,Zanclean,Po Plain-Northern Adriatic,Italy,echinoids
Baeyayla,32.68425004,36.75470398,Tortonian,Eastern Mediterranean,Turkey,ostracods
Bagnasco (Sabbie d'Asti_Piedmont),8.026373561,44.99869456,Zanclean,Po Plain-Northern Adriatic,Italy,marine_mammals
Baix Llobregat (Catalonia),1.963879534,41.41016475,Zanclean,Western Mediterranean,Spain,gastropods
Baiz Ebro (Catalonia),0.568970716,40.83720202,Zanclean,Western Mediterranean,Spain,gastropods
Bajo Segura Basin,-0.828885761,38.06009105,pre-evaporitic Messinian,Western Mediterranean,Spain,planktic_foraminifera
Bajo Segura Basin,-0.828885761,38.06009105,Tortonian,Western Mediterranean,Spain,planktic_foraminifera
Bajo Segura Basin,-0.828885761,38.06009105,Zanclean,Western Mediterranean,Spain,planktic_foraminifera
Balearic Islands,2.734551124,39.35944575,pre-evaporitic Messinian,Western Mediterranean,Spain,corals
Balza di Rocca Limata (Sicily),13.9352036,37.1069445,Tortonian,Eastern Mediterranean,Italy,corals
Bandinelli (Siena),11.32048323,43.33882749,Zanclean,Western Mediterranean,Italy,bivalves
Bandinelli (Siena),11.32048323,43.33882749,Zanclean,Western Mediterranean,Italy,gastropods
Banengo (Piedmont),8.064669694,45.07085312,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,nanoplankton
Banengo (Piedmont),8.064669694,45.07085312,pre-evaporitic Messinian,Po Plain-Northern Adriatic,Italy,planktic_foraminifera
Banos,-3.795528329,38.3000293,Tortonian,Western Mediterranean,Spain,planktic_foraminifera
Barbossi (Var),6.634796312,43.45790381,Zanclean,Western Mediterranean,France,dinocysts
Barcelona,2.16855852,41.38731917,Zanclean,Western Mediterranean,Spain,gastropods
Bardaris (Gavdos),24.1,34.85,Tortonian,Eastern Mediterranean,Greece,corals
Barinas South (Murcia),-1.058081668,38.27312535,Tortonian,Western Mediterranean,Spain,corals
Baselice,14.97285149,41.39266294,Tortonian,Po Plain-Northern Adriatic,Italy,echinoids
Bas-Leyssin (Chambery_Isere_Rhone),5.868746796,45.64428116,Tortonian,Western Mediterranean,France,corals
Basse-Tafna,-1.436366065,35.19402817,pre-evaporitic Messinian,Western Mediterranean,Algeria,corals
Bassin de Cocuron (Rhone delta),5.438763583,43.77422657,Tortonian,Western Mediterranean,France,ostracods
Belangero (Sabbie d'Asti_Piedmont),8.197945652,44.84953976,Tortonian,Po Plain-Northern Adriatic,Italy,marine_mammals
Benastare (Calabria),16.13948243,38.18364797,Tortonian,Eastern Mediterranean,Italy,corals
Benastare (Calabria),16.13948243,38.18364797,Tortonian,Eastern Mediterranean,Italy,ostracods
Beni Bou Yakoub (Boudinar Basin),-3.66744295,35.1322593,pre-evaporitic Messinian,Western Mediterranean,Morocco,bivalves
Beni Bou Yakoub (Boudinar Basin),-3.66744295,35.1322593,Tortonian,Western Mediterranean,Morocco,bivalves
Beni Ouarsous,-1.556971407,35.08031737,pre-evaporitic Messinian,Western Mediterranean,Algeria,bivalves
